,Throughput,P_Interval,P_Length,Speed,CommDistance,Latitude,Longitude,Height,Pitch,Roll,Yaw
Throughput,1.0,-0.4751495818813998,0.6625947712628735,-0.08540009241320758,-0.3708835551389279,-0.19112816048305442,-0.4845738787750279,-0.6644760526687808,-0.14903339929198262,0.1355978587415588,0.03795019366619185
P_Interval,-0.4751495818813998,1.0,-0.1743176679247597,0.04262325740166228,0.23785838726355307,0.17729550570461597,0.35607022013282474,0.30781829716415116,0.1555922415841641,-0.13648429360784042,0.07458923772800817
P_Length,0.6625947712628735,-0.1743176679247597,1.0,-0.0810681160058374,-0.3630576841416093,-0.12856448303630297,-0.3776905882989495,-0.49359257115279054,-0.1662747643015725,0.07936727486081317,-0.11643249381973154
Speed,-0.08540009241320758,0.04262325740166228,-0.0810681160058374,1.0,0.02532617358116971,0.08576678567511543,0.19345632743324995,0.039785793523179895,-0.2682971876700261,0.11868676034199155,-0.18049303143471734
CommDistance,-0.3708835551389279,0.23785838726355307,-0.3630576841416093,0.02532617358116971,1.0,-0.27548163169485973,0.6123295411609687,0.3953548641498469,0.14082646851295064,-0.04290471999012744,0.2395280604864946
Latitude,-0.19112816048305442,0.17729550570461597,-0.12856448303630297,0.08576678567511543,-0.27548163169485973,1.0,0.4976127517134696,0.06032987345480571,-0.18956502526820776,0.24131954568548056,-0.26263740286958825
Longitude,-0.4845738787750279,0.35607022013282474,-0.3776905882989495,0.19345632743324995,0.6123295411609687,0.4976127517134696,1.0,0.379152960411386,0.014179914318457788,0.11910540589622844,-0.008844238784748867
Height,-0.6644760526687808,0.30781829716415116,-0.49359257115279054,0.039785793523179895,0.3953548641498469,0.06032987345480571,0.379152960411386,1.0,0.07338418879141188,-0.07415909864806475,-0.27604705647521055
Pitch,-0.14903339929198262,0.1555922415841641,-0.1662747643015725,-0.2682971876700261,0.14082646851295064,-0.18956502526820776,0.014179914318457788,0.07338418879141188,1.0,-0.17413543374982204,0.5877145342273886
Roll,0.1355978587415588,-0.13648429360784042,0.07936727486081317,0.11868676034199155,-0.04290471999012744,0.24131954568548056,0.11910540589622844,-0.07415909864806475,-0.17413543374982204,1.0,-0.26715247272959747
Yaw,0.03795019366619185,0.07458923772800817,-0.11643249381973154,-0.18049303143471734,0.2395280604864946,-0.26263740286958825,-0.008844238784748867,-0.27604705647521055,0.5877145342273886,-0.26715247272959747,1.0
