,time_d,datarate,pktInt,pktLen,hSpeed,distance,lat,lonn,height,altitude,xSpeed,ySpeed,zSpeed,pitch,roll,yaw
time_d,1.0,0.0034859446596015578,-0.00434867885160842,0.014988746931044667,-0.10210198423706944,0.09825982872182724,-0.2456673406082618,0.15083022651322947,-0.03610519289562114,-0.036105192910607216,0.021094132036280536,-0.12386666727236932,0.31576401926320846,0.1459003726696914,-0.04227009600704108,0.8708562239049741
datarate,0.0034859446596015578,1.0,-0.8425250827866871,0.9210011531295861,0.1070675444653809,-0.19592697763633135,0.004598731670585149,-0.09066338217777928,-0.41447386810547987,-0.4144738680898083,0.04513693103489308,0.06382947225101135,-0.2123105751303737,-0.09914551158034422,0.09378894618594122,0.10128838090799276
pktInt,-0.00434867885160842,-0.8425250827866871,1.0,-0.8897294507896315,-0.10058517265847676,0.12885741232411815,0.025617757716789567,0.058320384093462116,0.22883118035749925,0.22883118032480604,-0.0632608696152372,-0.06055414599932851,0.18736610896919512,0.03419474821373203,-0.028025088883005093,-0.09672341203604334
pktLen,0.014988746931044667,0.9210011531295861,-0.8897294507896315,1.0,0.10335611784644022,-0.14464713052472117,-0.02059031044366837,-0.07270891433404134,-0.27673441835462387,-0.27673441832870993,0.08502827358884157,0.07986261048381628,-0.20040996037688288,-0.05462598997369258,0.041267092154879025,0.11111998281208237
hSpeed,-0.10210198423706944,0.1070675444653809,-0.10058517265847676,0.10335611784644022,1.0,-0.15778447987761746,-0.06160042045618651,0.09510668956555055,-0.006923949219700369,-0.0069239492065028265,-0.035053754144870934,-0.020794496736796213,0.04084254653477216,0.030646394430059582,0.07699577661279965,0.0134177960724768
distance,0.09825982872182724,-0.19592697763633135,0.12885741232411815,-0.14464713052472117,-0.15778447987761746,1.0,0.00998502210935564,0.5540167391234335,0.5071866982993664,0.5071866982994724,-0.08752997342869513,0.011706762505994775,-0.048820000476063614,0.16395682200258743,-0.14399317782668059,0.2125477441732777
lat,-0.2456673406082618,0.004598731670585149,0.025617757716789567,-0.02059031044366837,-0.06160042045618651,0.00998502210935564,1.0,0.5785892325081902,-0.023566332860842306,-0.023566332842715067,0.018550920991896914,0.114123751362337,0.057317896989341845,-0.09637368635450916,0.17477838792114175,-0.25609188555360274
lonn,0.15083022651322947,-0.09066338217777928,0.058320384093462116,-0.07270891433404134,0.09510668956555055,0.5540167391234335,0.5785892325081902,1.0,0.2918957506262953,0.2918957506376379,-0.09533895328338744,0.0008866654626949361,-0.07933161231957833,0.21763937537713324,0.14003453211480812,0.2698101878268994
height,-0.03610519289562114,-0.41447386810547987,0.22883118035749925,-0.27673441835462387,-0.006923949219700369,0.5071866982993664,-0.023566332860842306,0.2918957506262953,1.0,0.9999999999999994,0.0358937804852609,-0.03576377488813178,-0.016329051711221062,0.19448095795336878,-0.2531074363400537,-0.15621065851383353
altitude,-0.036105192910607216,-0.4144738680898083,0.22883118032480604,-0.27673441832870993,-0.0069239492065028265,0.5071866982994724,-0.023566332842715067,0.2918957506376379,0.9999999999999994,1.0,0.03589378047862435,-0.035763774896893634,-0.016329051720721337,0.19448095796130588,-0.2531074363258451,-0.1562106585286562
xSpeed,0.021094132036280536,0.04513693103489308,-0.0632608696152372,0.08502827358884157,-0.035053754144870934,-0.08752997342869513,0.018550920991896914,-0.09533895328338744,0.0358937804852609,0.03589378047862435,1.0,0.6885964558399903,0.04076650538481689,0.17049450075627606,-0.5809754192453462,-0.06868893304698215
ySpeed,-0.12386666727236932,0.06382947225101135,-0.06055414599932851,0.07986261048381628,-0.020794496736796213,0.011706762505994775,0.114123751362337,0.0008866654626949361,-0.03576377488813178,-0.035763774896893634,0.6885964558399903,1.0,-0.022191582741846176,-0.09086686388011013,-0.48391408648139284,-0.10245922363932013
zSpeed,0.31576401926320846,-0.2123105751303737,0.18736610896919512,-0.20040996037688288,0.04084254653477216,-0.048820000476063614,0.057317896989341845,-0.07933161231957833,-0.016329051711221062,-0.016329051720721337,0.04076650538481689,-0.022191582741846176,1.0,0.04191205797618907,-0.07218635467661613,0.169627919984459
pitch,0.1459003726696914,-0.09914551158034422,0.03419474821373203,-0.05462598997369258,0.030646394430059582,0.16395682200258743,-0.09637368635450916,0.21763937537713324,0.19448095795336878,0.19448095796130588,0.17049450075627606,-0.09086686388011013,0.04191205797618907,1.0,-0.12658964026331793,0.1354694418525849
roll,-0.04227009600704108,0.09378894618594122,-0.028025088883005093,0.041267092154879025,0.07699577661279965,-0.14399317782668059,0.17477838792114175,0.14003453211480812,-0.2531074363400537,-0.2531074363258451,-0.5809754192453462,-0.48391408648139284,-0.07218635467661613,-0.12658964026331793,1.0,0.05263130572231806
yaw,0.8708562239049741,0.10128838090799276,-0.09672341203604334,0.11111998281208237,0.0134177960724768,0.2125477441732777,-0.25609188555360274,0.2698101878268994,-0.15621065851383353,-0.1562106585286562,-0.06868893304698215,-0.10245922363932013,0.169627919984459,0.1354694418525849,0.05263130572231806,1.0
